,pdbid,real,prediction
0,1a30,4.3,6.253289699554443
1,1bcu,3.28,4.83820915222168
2,1bzc,4.92,4.601650714874268
3,1c5z,4.01,3.1656851768493652
4,1e66,9.89,8.579827308654785
5,1eby,9.7,7.683825969696045
6,1g2k,7.96,8.303468704223633
7,1gpk,5.37,7.483085632324219
8,1gpn,6.48,7.080729007720947
9,1h22,9.1,8.170900344848633
10,1h23,8.35,8.428910255432129
11,1k1i,6.58,7.79918909072876
12,1lpg,7.09,7.670126438140869
13,1mq6,11.15,7.562219142913818
14,1nc1,6.12,8.035602569580078
15,1nc3,5.0,7.220661163330078
16,1nvq,8.25,8.296975135803223
17,1o0h,5.92,5.090792655944824
18,1o3f,7.96,7.1373090744018555
19,1o5b,5.77,5.028566360473633
20,1owh,7.4,5.9857306480407715
21,1oyt,7.24,7.271001815795898
22,1p1n,6.8,6.30947732925415
23,1p1q,4.89,7.048444747924805
24,1ps3,2.28,5.42668342590332
25,1pxn,7.15,6.438090801239014
26,1q8t,4.76,4.601968765258789
27,1q8u,5.96,5.991546154022217
28,1qf1,7.32,7.583108425140381
29,1qkt,9.04,8.759811401367188
30,1r5y,6.46,5.260132789611816
31,1s38,5.15,4.8691725730896
32,1sqa,9.21,6.263312816619873
33,1syi,5.44,6.1767048835754395
34,1u1b,7.8,5.531950950622559
35,1uto,2.27,3.379019260406494
36,1vso,4.72,5.683676242828369
37,1w4o,5.22,4.188442707061768
38,1y6r,10.11,9.764371871948242
39,1yc1,6.17,6.877337455749512
40,1ydr,5.52,5.0988945960998535
41,1ydt,7.32,5.798549175262451
42,1z6e,9.72,8.904030799865723
43,1z95,7.12,7.1080193519592285
44,1z9g,5.64,5.873341083526611
45,2al5,8.4,7.287014484405518
46,2br1,5.14,7.833422660827637
47,2brb,4.86,6.501415729522705
48,2c3i,7.6,7.335192680358887
49,2cbv,5.48,5.752962112426758
50,2cet,8.02,6.391230583190918
51,2fvd,8.52,8.003504753112793
52,2fxs,6.06,5.4086456298828125
53,2hb1,3.8,4.008836269378662
54,2iwx,6.68,6.731834888458252
55,2j78,6.42,5.12449312210083
56,2j7h,7.19,6.1420416831970215
57,2p15,10.3,8.449892044067383
58,2p4y,9.0,7.557294845581055
59,2pog,9.54,7.5415730476379395
60,2qbp,8.4,6.785891532897949
61,2qbq,7.44,7.049884796142578
62,2qbr,6.33,5.9170331954956055
63,2qe4,7.96,7.611584186553955
64,2qnq,6.11,7.823281288146973
65,2r9w,5.1,5.429540157318115
66,2v00,3.66,5.0266432762146
67,2v7a,8.3,7.2479658126831055
68,2vkm,8.74,7.64478874206543
69,2vvn,7.3,6.149796485900879
70,2vw5,8.52,5.888317108154297
71,2w4x,4.85,5.205526828765869
72,2w66,4.05,4.985167980194092
73,2wbg,4.45,6.627617835998535
74,2wca,5.6,6.163760662078857
75,2weg,6.5,7.176208972930908
76,2wer,7.05,6.330089569091797
77,2wn9,8.52,5.719447135925293
78,2wnc,6.32,6.976382732391357
79,2wtv,8.74,8.313209533691406
80,2wvt,6.12,6.0592942237854
81,2x00,11.33,9.514979362487793
82,2xb8,7.59,5.17070198059082
83,2xbv,8.43,7.848665714263916
84,2xdl,3.1,5.779324054718018
85,2xii,7.2,7.311175346374512
86,2xj7,6.66,6.959402084350586
87,2xnb,6.83,7.154244422912598
88,2xys,7.42,6.727031707763672
89,2y5h,5.79,7.799666881561279
90,2yfe,6.63,7.360440254211426
91,2yge,5.06,6.282878398895264
92,2yki,9.46,7.225815773010254
93,2ymd,3.16,6.100646018981934
94,2zb1,6.32,7.897980213165283
95,2zcq,8.82,6.773613929748535
96,2zcr,6.87,7.486605644226074
97,2zda,8.4,6.9225754737854
98,2zy1,7.4,5.6125664710998535
99,3acw,4.76,6.9066267013549805
100,3ag9,8.05,7.395493507385254
101,3ao4,2.07,3.625920295715332
102,3arp,7.15,7.6614274978637695
103,3arq,6.4,7.209428310394287
104,3aru,3.22,4.810507774353027
105,3arv,5.64,5.6953301429748535
106,3ary,6.0,5.580673694610596
107,3b1m,8.48,6.677364349365234
108,3b27,5.16,4.642733097076416
109,3b5r,8.77,8.371002197265625
110,3b65,9.27,7.912353992462158
111,3b68,8.4,7.874486923217773
112,3bgz,6.26,6.528285026550293
113,3bv9,5.36,7.700369358062744
114,3cj4,6.51,6.669554710388184
115,3coy,6.02,7.074988842010498
116,3coz,5.57,6.4733757972717285
117,3d4z,4.89,5.919281482696533
118,3d6q,3.76,3.7037200927734375
119,3dd0,9.0,7.972477436065674
120,3dx1,3.58,4.78515625
121,3dx2,6.82,6.3369879722595215
122,3dxg,2.4,4.547245502471924
123,3e5a,8.23,7.704938888549805
124,3e92,8.0,8.515917778015137
125,3e93,8.85,8.19308853149414
126,3ebp,5.91,5.886425018310547
127,3ehy,5.85,7.5015082359313965
128,3ejr,8.57,7.499640941619873
129,3f3a,4.19,5.850255966186523
130,3f3c,6.02,5.2030229568481445
131,3f3d,7.16,4.925888538360596
132,3f3e,7.7,5.395908355712891
133,3fcq,2.77,5.772534370422363
134,3fur,8.0,7.777746677398682
135,3fv1,9.3,8.209867477416992
136,3fv2,8.11,7.988846302032471
137,3g0w,9.52,8.507277488708496
138,3g2n,4.09,4.646993637084961
139,3g2z,2.36,4.131928443908691
140,3g31,2.89,4.071835994720459
141,3gbb,6.9,7.541205406188965
142,3gc5,7.26,6.667692184448242
143,3ge7,8.7,7.443080425262451
144,3gnw,9.1,7.579756259918213
145,3gr2,2.52,4.637348175048828
146,3gv9,2.12,4.02162504196167
147,3gy4,5.1,3.4926395416259766
148,3ivg,4.3,6.563592433929443
149,3jvr,5.72,4.140215873718262
150,3jvs,6.54,5.340212345123291
151,3jya,6.89,6.481179714202881
152,3k5v,6.3,5.606021404266357
153,3kgp,2.57,3.5206103324890137
154,3kr8,8.1,6.399301528930664
155,3kwa,4.08,4.450181007385254
156,3l7b,2.4,4.432075023651123
157,3lka,2.82,6.9980387687683105
158,3mss,4.66,4.2267985343933105
159,3myg,10.7,7.241368293762207
160,3n76,6.85,5.444909572601318
161,3n7a,3.7,4.371793270111084
162,3n86,5.64,5.72353982925415
163,3nq9,4.03,6.235170364379883
164,3nw9,9.0,7.906283855438232
165,3nx7,8.1,7.617496490478516
166,3o9i,11.82,11.336210250854492
167,3oe4,7.47,6.755873203277588
168,3oe5,6.88,6.285125255584717
169,3ozs,5.33,7.046145915985107
170,3ozt,4.13,6.199826717376709
171,3p5o,7.26,7.449288368225098
172,3prs,7.82,6.763642311096191
173,3pww,7.32,7.328234672546387
174,3pxf,4.43,5.0070719718933105
175,3pyy,6.86,4.942046642303467
176,3qgy,7.8,7.3123040199279785
177,3qqs,5.82,5.1209540367126465
178,3r88,4.82,4.393660068511963
179,3rlr,7.52,7.892404556274414
180,3rr4,4.55,5.931362628936768
181,3rsx,4.41,4.12477445602417
182,3ryj,7.8,8.33976936340332
183,3syr,5.1,4.201241493225098
184,3tsk,7.17,7.095094680786133
185,3twp,3.92,3.7294907569885254
186,3u5j,5.61,6.011784076690674
187,3u8k,8.66,6.854873180389404
188,3u8n,10.17,7.9035115242004395
189,3u9q,4.38,4.517866611480713
190,3udh,2.85,3.341536045074463
191,3ueu,5.24,6.392940998077393
192,3uev,5.89,6.595795631408691
193,3uew,6.31,6.452000141143799
194,3uex,6.92,6.416321754455566
195,3ui7,9.0,7.676495552062988
196,3uo4,6.52,7.55491828918457
197,3up2,7.4,7.464420795440674
198,3uri,9.0,7.096394062042236
199,3utu,10.92,7.731125354766846
200,3uuo,7.96,8.007306098937988
201,3wtj,6.53,6.758574962615967
202,3wz8,5.82,5.940019130706787
203,3zdg,7.1,4.470745086669922
204,3zso,5.12,5.516664505004883
205,3zsx,3.28,4.673494815826416
206,3zt2,2.84,4.727747440338135
207,4abg,3.57,5.5549516677856445
208,4agn,3.97,4.429677963256836
209,4agp,4.69,4.630783557891846
210,4agq,5.01,4.636578559875488
211,4bkt,3.62,4.4430413246154785
212,4cig,3.67,5.9170966148376465
213,4ciw,4.82,4.539784908294678
214,4cr9,4.1,4.19267463684082
215,4cra,7.22,7.535922527313232
216,4crc,8.72,8.267426490783691
217,4ddh,3.3,4.355774879455566
218,4ddk,2.29,3.3883056640625
219,4de1,5.96,5.477948188781738
220,4de2,4.12,5.1266770362854
221,4de3,5.52,5.2790422439575195
222,4djv,6.72,6.379898548126221
223,4dld,5.82,6.5491204261779785
224,4dli,5.62,5.101238250732422
225,4e5w,7.66,7.560309410095215
226,4e6q,8.36,8.19314193725586
227,4ea2,6.44,7.5811686515808105
228,4eky,3.52,4.882976531982422
229,4eo8,8.15,7.081874370574951
230,4eor,6.3,6.591928958892822
231,4f09,6.7,7.370057106018066
232,4f2w,11.3,10.088030815124512
