,pdbid,real,prediction
0,Bace_01,6.666741,6.4454145431518555
1,Bace_02,7.6788535,6.04524564743042
2,Bace_03,5.7573066,6.571370601654053
3,Bace_04,6.6887436,5.858743190765381
4,Bace_05,6.850095,6.791511058807373
5,Bace_06,6.424714,6.743797779083252
6,Bace_07,5.7573066,6.457820415496826
7,Bace_08,6.263363,7.048964023590088
8,Bace_09,6.263363,6.7495341300964355
9,Bace_10,6.4833875,5.916951656341553
10,Bace_11,7.1141243,6.485456943511963
11,Bace_12,7.8695416,6.091745376586914
12,Bace_13,6.908768,6.732236862182617
13,Bace_14,6.7987556,6.288615703582764
14,Bace_15,6.908768,6.513697147369385
15,Bace_16,6.8354263,6.117924690246582
16,Bace_17,7.2314706,5.988617420196533
17,Bace_18,8.324259,6.810107707977295
18,Bace_19,6.945439,6.713794231414795
19,Bace_20,6.666741,6.575960159301758
20,Bace_21,6.615402,6.7065300941467285
21,Bace_22,7.348817,6.077693462371826
22,Bace_23,7.392822,6.888880252838135
23,Bace_24,7.5761757,6.604698657989502
24,Bace_25,7.062785,6.343512058258057
25,Bace_26,7.1434608,6.731411457061768
26,Bace_27,6.6814094,6.596105098724365
27,Bace_28,6.710746,6.894165515899658
28,Bace_29,7.304812,6.057271480560303
29,Bace_30,6.666741,6.652336597442627
30,Bace_31,6.8794312,6.55490779876709
31,Bace_32,5.81598,6.266879081726074
32,Bace_33,6.402712,6.91424036026001
33,Bace_34,7.062785,6.338675498962402
34,Bace_35,6.058007,6.666450023651123
35,Bace_36,7.348817,6.617153644561768
36,CDK2_01,7.1962667,7.521843433380127
37,CDK2_02,8.149706,7.457475185394287
38,CDK2_03,7.1764646,7.073837757110596
39,CDK2_04,7.144194,6.704967021942139
40,CDK2_05,7.150795,7.6744256019592285
41,CDK2_06,6.6616073,7.571400165557861
42,CDK2_07,7.247606,7.523606300354004
43,CDK2_08,5.6245584,6.7111639976501465
44,CDK2_09,5.7411714,7.229109287261963
45,CDK2_10,6.1834207,7.178630352020264
46,CDK2_11,8.247984,7.5654730796813965
47,CDK2_12,6.996044,7.220114231109619
48,CDK2_13,6.393911,6.639087200164795
49,CDK2_14,5.7661076,6.746971607208252
50,CDK2_15,5.163974,6.762510776519775
51,CDK2_16,5.9986,5.923142910003662
52,Jnk1_01,6.358707,7.967317581176758
53,Jnk1_02,7.3268147,7.801158428192139
54,Jnk1_03,6.380709,7.845134258270264
55,Jnk1_04,6.380709,7.4900383949279785
56,Jnk1_05,6.226692,7.719738006591797
57,Jnk1_06,6.7254143,7.5494465827941895
58,Jnk1_07,5.3465943,7.737881183624268
59,Jnk1_08,7.099456,7.654737949371338
60,Jnk1_09,5.9479947,7.9589667320251465
61,Jnk1_10,6.945439,7.544008255004883
62,Jnk1_11,7.4368267,7.301488399505615
63,Jnk1_12,7.400156,7.161085605621338
64,Jnk1_13,7.8328705,7.333413124084473
65,Jnk1_14,6.219358,8.057731628417969
66,Jnk1_15,7.1141243,7.827875137329102
67,Jnk1_16,6.7034116,7.7967023849487305
68,Jnk1_17,7.1434608,7.119958877563477
69,Jnk1_18,6.901434,8.029031753540039
70,Jnk1_19,6.6594067,7.706740856170654
71,Jnk1_20,5.5079455,8.173921585083008
72,Jnk1_21,6.5053897,7.9207353591918945
73,MCL1_01,6.0433383,6.215011119842529
74,MCL1_02,4.884543,5.770347595214844
75,MCL1_03,5.045894,6.023118495941162
76,MCL1_04,5.5739527,5.86104679107666
77,MCL1_05,6.461385,6.394571304321289
78,MCL1_06,5.8086457,6.5721282958984375
79,MCL1_07,6.769419,6.851336479187012
80,MCL1_08,5.6399603,6.904761791229248
81,MCL1_09,4.8258696,5.767344951629639
82,MCL1_10,5.1485724,6.08076286315918
83,MCL1_11,6.1973557,6.997371673583984
84,MCL1_12,6.8427606,7.630067348480225
85,MCL1_13,4.8552065,6.1860575675964355
86,MCL1_14,6.1826873,6.203431606292725
87,MCL1_15,5.1559067,6.055874347686768
88,MCL1_16,6.564063,6.771324634552002
89,MCL1_17,5.7573066,5.834914684295654
90,MCL1_18,7.172797,6.826310157775879
91,MCL1_19,6.358707,6.882530689239502
92,MCL1_20,6.476053,6.195858001708984
93,MCL1_21,5.089899,6.499453067779541
94,MCL1_22,5.317258,5.891438961029053
95,MCL1_23,5.837982,6.564377307891846
96,MCL1_24,5.925992,6.949238300323486
97,MCL1_25,6.131348,7.3194732666015625
98,MCL1_26,6.967441,6.485523700714111
99,MCL1_27,5.229248,5.344235897064209
100,MCL1_28,6.168019,6.5703864097595215
101,MCL1_29,6.901434,7.184053421020508
102,MCL1_30,6.6447387,6.620755672454834
103,MCL1_31,4.4884987,5.499509811401367
104,MCL1_32,4.2391376,6.185155868530273
105,MCL1_33,6.63007,5.718949317932129
106,MCL1_34,6.7914214,6.5854082107543945
107,MCL1_35,7.304812,7.099752902984619
108,MCL1_36,5.9993334,6.47866153717041
109,MCL1_37,6.5420604,6.393167972564697
110,MCL1_38,6.564063,6.165215969085693
111,MCL1_39,6.5273924,6.476521968841553
112,MCL1_40,5.5592847,6.780344486236572
113,MCL1_41,5.03856,6.421353816986084
114,MCL1_42,5.1559067,5.854986667633057
115,PTP1B_01,5.6619625,6.1836676597595215
116,PTP1B_02,6.3440385,6.348694324493408
117,PTP1B_03,6.6814094,7.098802089691162
118,PTP1B_04,6.3953776,6.646762371063232
119,PTP1B_05,5.6619625,6.1655497550964355
120,PTP1B_06,9.145683,6.832472801208496
121,PTP1B_07,6.314702,6.3714375495910645
122,PTP1B_08,7.3414826,6.591352462768555
123,PTP1B_09,7.238805,7.165292263031006
124,PTP1B_10,6.153351,6.011905670166016
125,PTP1B_11,6.6594067,6.715392589569092
126,PTP1B_12,5.683965,6.145608425140381
127,PTP1B_13,6.3953776,6.589479923248291
128,PTP1B_14,8.375598,6.7858805656433105
129,PTP1B_15,6.4907217,6.377320289611816
130,PTP1B_16,5.683965,6.102009296417236
131,PTP1B_17,8.074898,6.845698833465576
132,PTP1B_18,5.383265,5.606959342956543
133,PTP1B_19,5.7573066,5.409327983856201
134,PTP1B_20,6.901434,6.799753665924072
135,PTP1B_21,5.683965,6.736088275909424
136,PTP1B_22,6.7034116,7.012616157531738
137,PTP1B_23,7.4294925,7.8809404373168945
138,Thrombin_01,6.2046895,7.4613471031188965
139,Thrombin_02,6.0506725,7.540165424346924
140,Thrombin_03,5.764641,7.6160807609558105
141,Thrombin_04,5.4859433,7.545600414276123
142,Thrombin_05,6.7327485,7.843696117401123
143,Thrombin_06,6.0286703,7.808366298675537
144,Thrombin_07,6.1020117,7.43790864944458
145,Thrombin_08,5.5592847,7.560389518737793
146,Thrombin_09,6.520058,7.77460241317749
147,Thrombin_10,6.534726,7.893718242645264
148,Thrombin_11,6.2780313,7.514997959136963
149,Tyk2_01,6.9967775,7.568454742431641
150,Tyk2_02,8.023559,8.193401336669922
151,Tyk2_03,6.5860653,7.454516887664795
152,Tyk2_04,8.294922,7.776521682739258
153,Tyk2_05,6.7547507,7.224833965301514
154,Tyk2_06,6.058007,7.751427173614502
155,Tyk2_07,8.052896,8.10477066040039
156,Tyk2_08,5.683965,7.403603553771973
157,Tyk2_09,7.011446,8.176847457885742
158,Tyk2_10,5.4419384,7.969751834869385
159,Tyk2_11,8.27292,7.896303653717041
160,Tyk2_12,6.6007338,8.251657485961914
161,Tyk2_13,7.1141243,7.953739643096924
162,Tyk2_14,8.580954,7.791072368621826
163,Tyk2_15,7.172797,7.653926849365234
