,pdbid,real,prediction
0,1a30,4.3,6.232304096221924
1,1bcu,3.28,5.008248329162598
2,1bzc,4.92,6.727545738220215
3,1c5z,4.01,3.7950825691223145
4,1e66,9.89,7.486156463623047
5,1eby,9.7,8.29648494720459
6,1g2k,7.96,7.862046241760254
7,1gpk,5.37,6.635527610778809
8,1gpn,6.48,6.625083923339844
9,1h22,9.1,7.592447280883789
10,1h23,8.35,7.615301132202148
11,1k1i,6.58,7.372616767883301
12,1lpg,7.09,7.2328033447265625
13,1mq6,11.15,7.558964729309082
14,1nc1,6.12,6.374632835388184
15,1nc3,5.0,5.797417640686035
16,1nvq,8.25,7.552668571472168
17,1o0h,5.92,4.231064319610596
18,1o3f,7.96,6.861671447753906
19,1o5b,5.77,5.196115493774414
20,1owh,7.4,6.187685966491699
21,1oyt,7.24,7.292594909667969
22,1p1n,6.8,6.3711137771606445
23,1p1q,4.89,6.594127655029297
24,1ps3,2.28,5.735417366027832
25,1pxn,7.15,6.65079402923584
26,1q8t,4.76,5.223095417022705
27,1q8u,5.96,6.382783889770508
28,1qf1,7.32,6.8920087814331055
29,1qkt,9.04,7.863704681396484
30,1r5y,6.46,5.421374320983887
31,1s38,5.15,5.208928108215332
32,1sqa,9.21,7.408952713012695
33,1syi,5.44,6.521461009979248
34,1u1b,7.8,4.932797908782959
35,1uto,2.27,3.443324327468872
36,1vso,4.72,6.688360214233398
37,1w4o,5.22,4.510335922241211
38,1y6r,10.11,7.6698150634765625
39,1yc1,6.17,8.033512115478516
40,1ydr,5.52,5.992951393127441
41,1ydt,7.32,6.392980575561523
42,1z6e,9.72,7.832707405090332
43,1z95,7.12,7.36647891998291
44,1z9g,5.64,4.81630277633667
45,2al5,8.4,7.05478572845459
46,2br1,5.14,7.31089973449707
47,2brb,4.86,6.667962074279785
48,2c3i,7.6,7.820965766906738
49,2cbv,5.48,4.471970558166504
50,2cet,8.02,6.039139747619629
51,2fvd,8.52,7.867562294006348
52,2fxs,6.06,6.624631881713867
53,2hb1,3.8,4.096286773681641
54,2iwx,6.68,5.859801292419434
55,2j78,6.42,4.872830867767334
56,2j7h,7.19,4.614609241485596
57,2p15,10.3,8.081109046936035
58,2p4y,9.0,7.462082862854004
59,2pog,9.54,7.686306953430176
60,2qbp,8.4,7.409544944763184
61,2qbq,7.44,7.275138854980469
62,2qbr,6.33,7.231772422790527
63,2qe4,7.96,7.800514221191406
64,2qnq,6.11,7.301143646240234
65,2r9w,5.1,6.860377311706543
66,2v00,3.66,5.389593601226807
67,2v7a,8.3,7.265836715698242
68,2vkm,8.74,7.752740859985352
69,2vvn,7.3,5.128064155578613
70,2vw5,8.52,6.380841255187988
71,2w4x,4.85,4.608764171600342
72,2w66,4.05,4.738824367523193
73,2wbg,4.45,5.228100776672363
74,2wca,5.6,5.7364397048950195
75,2weg,6.5,6.07085657119751
76,2wer,7.05,6.04448127746582
77,2wn9,8.52,5.709012985229492
78,2wnc,6.32,6.0345988273620605
79,2wtv,8.74,7.738171577453613
80,2wvt,6.12,6.469871520996094
81,2x00,11.33,8.632547378540039
82,2xb8,7.59,6.0612897872924805
83,2xbv,8.43,8.44913387298584
84,2xdl,3.1,4.586848258972168
85,2xii,7.2,7.157647132873535
86,2xj7,6.66,4.818151473999023
87,2xnb,6.83,7.317531585693359
88,2xys,7.42,6.9304046630859375
89,2y5h,5.79,7.029376983642578
90,2yfe,6.63,6.356024742126465
91,2yge,5.06,5.786220073699951
92,2yki,9.46,6.853168487548828
93,2ymd,3.16,7.120497703552246
94,2zb1,6.32,7.592830657958984
95,2zcq,8.82,6.550748825073242
96,2zcr,6.87,7.618497848510742
97,2zda,8.4,7.476634979248047
98,2zy1,7.4,6.388696670532227
99,3acw,4.76,6.961511611938477
100,3ag9,8.05,5.311553001403809
101,3ao4,2.07,3.97843599319458
102,3arp,7.15,7.880377769470215
103,3arq,6.4,7.363868713378906
104,3aru,3.22,4.921676158905029
105,3arv,5.64,7.34669303894043
106,3ary,6.0,5.128708362579346
107,3b1m,8.48,7.268527984619141
108,3b27,5.16,4.83442497253418
109,3b5r,8.77,7.16242790222168
110,3b65,9.27,7.208171844482422
111,3b68,8.4,7.049325942993164
