,pdbid,real,prediction
0,Bace_01,6.666741,6.559532165527344
1,Bace_02,7.6788535,6.4914774894714355
2,Bace_03,5.7573066,6.542139053344727
3,Bace_04,6.6887436,6.002449989318848
4,Bace_05,6.850095,6.204306125640869
5,Bace_06,6.424714,6.66506814956665
6,Bace_07,5.7573066,6.011638641357422
7,Bace_08,6.263363,6.7077250480651855
8,Bace_09,6.263363,6.612295150756836
9,Bace_10,6.4833875,5.6194915771484375
10,Bace_11,7.1141243,6.634490489959717
11,Bace_12,7.8695416,6.211400032043457
12,Bace_13,6.908768,6.113086700439453
13,Bace_14,6.7987556,6.290648937225342
14,Bace_15,6.908768,5.63930606842041
15,Bace_16,6.8354263,6.392107009887695
16,Bace_17,7.2314706,6.263998508453369
17,Bace_18,8.324259,6.0255513191223145
18,Bace_19,6.945439,5.887115478515625
19,Bace_20,6.666741,6.925153732299805
20,Bace_21,6.615402,6.143826961517334
21,Bace_22,7.348817,6.161160469055176
22,Bace_23,7.392822,6.575139999389648
23,Bace_24,7.5761757,6.031467437744141
24,Bace_25,7.062785,6.59616231918335
25,Bace_26,7.1434608,6.0200653076171875
26,Bace_27,6.6814094,6.49120569229126
27,Bace_28,6.710746,6.355410575866699
28,Bace_29,7.304812,6.348491668701172
29,Bace_30,6.666741,6.378909111022949
30,Bace_31,6.8794312,6.4326934814453125
31,Bace_32,5.81598,6.106866836547852
32,Bace_33,6.402712,6.810497760772705
33,Bace_34,7.062785,6.524961948394775
34,Bace_35,6.058007,6.215741157531738
35,Bace_36,7.348817,5.917349338531494
36,CDK2_01,7.1962667,7.612727642059326
37,CDK2_02,8.149706,7.6283979415893555
38,CDK2_03,7.1764646,7.600574493408203
39,CDK2_04,7.144194,7.510834217071533
40,CDK2_05,7.150795,7.643912315368652
41,CDK2_06,6.6616073,7.686856269836426
42,CDK2_07,7.247606,7.5511579513549805
43,CDK2_08,5.6245584,7.477370738983154
44,CDK2_09,5.7411714,7.319241046905518
45,CDK2_10,6.1834207,7.527289867401123
46,CDK2_11,8.247984,7.633779048919678
47,CDK2_12,6.996044,7.611297130584717
48,CDK2_13,6.393911,7.557255268096924
49,CDK2_14,5.7661076,7.468623161315918
50,CDK2_15,5.163974,7.470504283905029
51,CDK2_16,5.9986,7.395675182342529
52,Jnk1_01,6.358707,6.109445571899414
53,Jnk1_02,7.3268147,6.619603633880615
54,Jnk1_03,6.380709,6.076624393463135
55,Jnk1_04,6.380709,6.94074821472168
56,Jnk1_05,6.226692,6.154083251953125
57,Jnk1_06,6.7254143,6.447632312774658
58,Jnk1_07,5.3465943,5.9174275398254395
59,Jnk1_08,7.099456,6.628634929656982
60,Jnk1_09,5.9479947,6.186889171600342
61,Jnk1_10,6.945439,6.640420436859131
62,Jnk1_11,7.4368267,6.690721035003662
63,Jnk1_12,7.400156,6.557811260223389
64,Jnk1_13,7.8328705,6.621077060699463
65,Jnk1_14,6.219358,6.177731990814209
66,Jnk1_15,7.1141243,6.62373685836792
67,Jnk1_16,6.7034116,6.069581031799316
68,Jnk1_17,7.1434608,6.642105579376221
69,Jnk1_18,6.901434,6.535950660705566
70,Jnk1_19,6.6594067,6.30962610244751
71,Jnk1_20,5.5079455,6.14481258392334
72,Jnk1_21,6.5053897,6.225586891174316
73,MCL1_01,6.0433383,6.617258071899414
74,MCL1_02,4.884543,6.896046161651611
75,MCL1_03,5.045894,6.273141384124756
76,MCL1_04,5.5739527,6.869513034820557
77,MCL1_05,6.461385,6.894445896148682
78,MCL1_06,5.8086457,7.122406959533691
79,MCL1_07,6.769419,6.825342178344727
80,MCL1_08,5.6399603,7.213557720184326
81,MCL1_09,4.8258696,6.217207431793213
82,MCL1_10,5.1485724,7.333439826965332
83,MCL1_11,6.1973557,7.336463928222656
84,MCL1_12,6.8427606,7.212460994720459
85,MCL1_13,4.8552065,6.039186000823975
86,MCL1_14,6.1826873,6.703381061553955
87,MCL1_15,5.1559067,7.307928085327148
88,MCL1_16,6.564063,6.93165922164917
89,MCL1_17,5.7573066,6.208082675933838
90,MCL1_18,7.172797,7.096169948577881
91,MCL1_19,6.358707,7.382272243499756
92,MCL1_20,6.476053,6.711227893829346
93,MCL1_21,5.089899,7.301083087921143
94,MCL1_22,5.317258,7.3712849617004395
95,MCL1_23,5.837982,7.109803676605225
96,MCL1_24,5.925992,6.834825038909912
97,MCL1_25,6.131348,6.971503734588623
98,MCL1_26,6.967441,6.750363826751709
99,MCL1_27,5.229248,7.427212238311768
100,MCL1_28,6.168019,6.746487140655518
101,MCL1_29,6.901434,7.1205291748046875
102,MCL1_30,6.6447387,6.651120662689209
103,MCL1_31,4.4884987,5.62838888168335
104,MCL1_32,4.2391376,6.698287487030029
105,MCL1_33,6.63007,7.146074295043945
106,MCL1_34,6.7914214,7.2932658195495605
107,MCL1_35,7.304812,7.094139099121094
108,MCL1_36,5.9993334,6.844902515411377
109,MCL1_37,6.5420604,6.649476051330566
110,MCL1_38,6.564063,7.3192667961120605
111,MCL1_39,6.5273924,6.967763900756836
112,MCL1_40,5.5592847,6.8132429122924805
113,MCL1_41,5.03856,7.2760186195373535
114,MCL1_42,5.1559067,7.088199138641357
115,PTP1B_01,5.6619625,7.051718235015869
116,PTP1B_02,6.3440385,7.147060871124268
117,PTP1B_03,6.6814094,6.743197441101074
118,PTP1B_04,6.3953776,7.1701884269714355
119,PTP1B_05,5.6619625,6.4302754402160645
120,PTP1B_06,9.145683,7.533230781555176
121,PTP1B_07,6.314702,6.945656776428223
122,PTP1B_08,7.3414826,7.292379856109619
123,PTP1B_09,7.238805,7.370748519897461
124,PTP1B_10,6.153351,6.853556156158447
125,PTP1B_11,6.6594067,6.676010608673096
126,PTP1B_12,5.683965,6.484121322631836
127,PTP1B_13,6.3953776,6.5936408042907715
128,PTP1B_14,8.375598,7.5318217277526855
129,PTP1B_15,6.4907217,6.719316482543945
130,PTP1B_16,5.683965,6.394709587097168
131,PTP1B_17,8.074898,7.516008377075195
132,PTP1B_18,5.383265,6.118559837341309
133,PTP1B_19,5.7573066,5.586574077606201
134,PTP1B_20,6.901434,6.801100254058838
135,PTP1B_21,5.683965,7.447568893432617
136,PTP1B_22,6.7034116,7.104266166687012
137,PTP1B_23,7.4294925,7.34428071975708
138,Thrombin_01,6.2046895,7.279618263244629
139,Thrombin_02,6.0506725,7.265146255493164
140,Thrombin_03,5.764641,7.4185967445373535
141,Thrombin_04,5.4859433,7.332533359527588
142,Thrombin_05,6.7327485,7.316867351531982
143,Thrombin_06,6.0286703,7.3006768226623535
144,Thrombin_07,6.1020117,7.216585159301758
145,Thrombin_08,5.5592847,6.934083938598633
146,Thrombin_09,6.520058,7.349868297576904
147,Thrombin_10,6.534726,7.4944047927856445
148,Thrombin_11,6.2780313,7.282583713531494
149,Tyk2_01,6.9967775,7.1869611740112305
150,Tyk2_02,8.023559,7.518958568572998
151,Tyk2_03,6.5860653,7.428549289703369
152,Tyk2_04,8.294922,7.4810967445373535
153,Tyk2_05,6.7547507,7.426916122436523
154,Tyk2_06,6.058007,7.474341869354248
155,Tyk2_07,8.052896,7.527808666229248
156,Tyk2_08,5.683965,7.467113971710205
157,Tyk2_09,7.011446,7.423878192901611
158,Tyk2_10,5.4419384,7.364185810089111
159,Tyk2_11,8.27292,7.473128795623779
160,Tyk2_12,6.6007338,7.542532920837402
161,Tyk2_13,7.1141243,7.537452220916748
162,Tyk2_14,8.580954,7.469998836517334
