,pdbid,real,prediction
0,1a30,4.3,6.58096981048584
1,1bcu,3.28,5.637114524841309
2,1bzc,4.92,5.866847038269043
3,1c5z,4.01,3.634862184524536
4,1e66,9.89,6.709074974060059
5,1eby,9.7,8.25200080871582
6,1g2k,7.96,8.321905136108398
7,1gpk,5.37,6.924533843994141
8,1gpn,6.48,7.19107723236084
9,1h22,9.1,7.431395530700684
10,1h23,8.35,7.553248405456543
11,1k1i,6.58,7.868908882141113
12,1lpg,7.09,7.126132011413574
13,1mq6,11.15,8.466796875
14,1nc1,6.12,9.099472045898438
15,1nc3,5.0,5.0055742263793945
16,1nvq,8.25,6.027041435241699
17,1o0h,5.92,5.192352771759033
18,1o3f,7.96,7.1332855224609375
19,1o5b,5.77,5.150067329406738
20,1owh,7.4,7.158082962036133
21,1oyt,7.24,7.747138023376465
22,1p1n,6.8,7.384444236755371
23,1p1q,4.89,5.553380966186523
24,1ps3,2.28,5.187564849853516
25,1pxn,7.15,7.102669715881348
26,1q8t,4.76,5.122498512268066
27,1q8u,5.96,7.254283905029297
28,1qf1,7.32,7.220276832580566
29,1qkt,9.04,7.665522575378418
30,1r5y,6.46,5.7299089431762695
31,1s38,5.15,3.7129197120666504
32,1sqa,9.21,8.107375144958496
33,1syi,5.44,5.535628318786621
34,1u1b,7.8,5.493891716003418
35,1uto,2.27,4.218059539794922
36,1vso,4.72,5.707450866699219
37,1w4o,5.22,4.5926361083984375
38,1y6r,10.11,9.153111457824707
39,1yc1,6.17,6.358193397521973
40,1ydr,5.52,5.9714460372924805
41,1ydt,7.32,6.3766279220581055
42,1z6e,9.72,8.117931365966797
43,1z95,7.12,6.330883979797363
44,1z9g,5.64,5.779992580413818
45,2al5,8.4,6.719188690185547
46,2br1,5.14,6.884346961975098
47,2brb,4.86,6.313291549682617
48,2c3i,7.6,7.170867919921875
49,2cbv,5.48,5.343550682067871
50,2cet,8.02,6.4354352951049805
51,2fvd,8.52,7.6193437576293945
52,2fxs,6.06,6.602496147155762
53,2hb1,3.8,4.678387641906738
54,2iwx,6.68,6.318290710449219
55,2j78,6.42,3.9529941082000732
56,2j7h,7.19,5.2862958908081055
57,2p15,10.3,7.20086669921875
58,2p4y,9.0,7.308662414550781
59,2pog,9.54,5.569997787475586
60,2qbp,8.4,6.329557418823242
61,2qbq,7.44,7.417668342590332
62,2qbr,6.33,6.349652290344238
63,2qe4,7.96,5.991809844970703
64,2qnq,6.11,6.6326704025268555
65,2r9w,5.1,5.4283342361450195
66,2v00,3.66,4.98621940612793
67,2v7a,8.3,6.91970157623291
68,2vkm,8.74,8.352421760559082
69,2vvn,7.3,6.386752128601074
70,2vw5,8.52,7.156256675720215
71,2w4x,4.85,5.743634223937988
72,2w66,4.05,6.876324653625488
73,2wbg,4.45,5.200078964233398
74,2wca,5.6,6.506099700927734
