pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.303773880004883, 5.249028205871582, 5.343830108642578, 5.568158149719238, 5.447457313537598, 5.413717269897461, 5.2774152755737305, 5.630234718322754, 5.3975324630737305, 5.249787330627441]",5.39
1qkt,9.04,"[7.640206336975098, 7.632382392883301, 7.585280418395996, 7.491971969604492, 7.599700927734375, 7.5550947189331055, 7.588621139526367, 7.545651435852051, 7.62593936920166, 7.598647117614746]",7.59
1syi,5.44,"[6.206051826477051, 6.210939407348633, 6.1847944259643555, 6.172883033752441, 6.377847671508789, 6.187786102294922, 6.180376052856445, 6.299405097961426, 6.577607154846191, 6.249691963195801]",6.26
1y6r,10.11,"[7.488245964050293, 7.636631965637207, 7.562561988830566, 7.536206245422363, 7.504863739013672, 7.613231658935547, 7.558332443237305, 7.51027774810791, 7.581560134887695, 7.56839656829834]",7.56
1yc1,6.17,"[7.6157073974609375, 7.540519714355469, 7.535914421081543, 7.606912612915039, 7.557966232299805, 7.549054145812988, 7.478884696960449, 7.620050430297852, 7.447885513305664, 7.433221817016602]",7.54
2v00,3.66,"[5.159700393676758, 5.144632339477539, 5.229879379272461, 5.128351211547852, 5.17133903503418, 5.099880218505859, 5.082507133483887, 5.009790420532227, 5.0398759841918945, 4.994391441345215]",5.11
2vw5,8.52,"[7.69571590423584, 7.622845649719238, 7.671008110046387, 7.6839094161987305, 7.66484260559082, 7.638204574584961, 7.603436470031738, 7.693914413452148, 7.605557441711426, 7.591280937194824]",7.65
2wer,7.05,"[7.2262725830078125, 7.196681022644043, 7.211907386779785, 7.285804748535156, 7.218661308288574, 7.217018127441406, 7.103848457336426, 7.243326187133789, 7.366466522216797, 7.338056564331055]",7.24
2wnc,6.32,"[6.895576477050781, 6.986907958984375, 6.994538307189941, 6.844064712524414, 6.894941329956055, 7.022110939025879, 6.905729293823242, 6.8230438232421875, 6.860452651977539, 6.926238059997559]",6.92
2wvt,6.12,"[5.69296932220459, 5.609036445617676, 5.870617866516113, 5.692178726196289, 5.952544212341309, 5.517447471618652, 5.577622413635254, 5.694068908691406, 6.0019121170043945, 5.476313591003418]",5.71
2x00,11.33,"[7.617571830749512, 7.6125898361206055, 7.634164810180664, 7.673312187194824, 7.606132507324219, 7.70432186126709, 7.637889862060547, 7.6376447677612305, 7.632586479187012, 7.620843887329102]",7.64
2xb8,7.59,"[7.475325584411621, 7.377197265625, 7.340112686157227, 7.224387168884277, 7.305234909057617, 7.289467811584473, 7.33281135559082, 7.402303695678711, 7.368813514709473, 7.303842544555664]",7.34
2xdl,3.1,"[6.261495590209961, 6.222982406616211, 6.2019147872924805, 6.167874336242676, 6.372931480407715, 6.15131950378418, 6.207033157348633, 6.203444480895996, 6.154141426086426, 6.3315324783325195]",6.23
2xii,7.2,"[7.274953842163086, 7.161678314208984, 7.292145729064941, 7.216650009155273, 7.2294416427612305, 7.3079376220703125, 7.214384078979492, 7.194394111633301, 7.265362739562988, 7.439558982849121]",7.26
2yki,9.46,"[7.777858734130859, 7.822526931762695, 7.843722343444824, 7.888518333435059, 7.891423225402832, 7.83296012878418, 7.769712448120117, 7.742151260375977, 7.784791946411133, 7.794476509094238]",7.81
2ymd,3.16,"[6.327875137329102, 6.458212852478027, 6.562564849853516, 6.559056282043457, 6.427351951599121, 6.423954963684082, 6.452400207519531, 6.391613960266113, 6.412342071533203, 6.567253112792969]",6.46
3aru,3.22,"[5.675901412963867, 5.076420783996582, 5.392248153686523, 5.247718811035156, 5.16254997253418, 5.242929458618164, 5.250077247619629, 5.140315055847168, 5.316335678100586, 5.209867477416992]",5.27
3ary,6.0,"[5.505353927612305, 4.937499046325684, 5.136828422546387, 5.189286231994629, 5.55225944519043, 5.055972099304199, 5.039973258972168, 5.347314834594727, 4.952694892883301, 5.409963607788086]",5.21
3b27,5.16,"[7.101253509521484, 7.200690269470215, 7.121997833251953, 7.049036026000977, 7.1497039794921875, 7.11800479888916, 7.0378265380859375, 6.963842391967773, 7.158376693725586, 7.117999076843262]",7.1
3b5r,8.77,"[7.71171760559082, 7.786098480224609, 7.853205680847168, 7.756893157958984, 7.776889801025391, 7.800819396972656, 7.776996612548828, 7.86711311340332, 7.8639726638793945, 7.737051010131836]",7.79
3b65,9.27,"[7.762242317199707, 7.64863395690918, 7.632392883300781, 7.626365661621094, 7.68649959564209, 7.67214298248291, 7.769006729125977, 7.6331787109375, 7.711081504821777, 7.716194152832031]",7.69
3b68,8.4,"[7.743230819702148, 7.830928802490234, 7.728558540344238, 7.797971725463867, 7.778866767883301, 7.755548477172852, 7.800373077392578, 7.79072380065918, 7.79564094543457, 7.755518913269043]",7.78
3d4z,4.89,"[5.3439836502075195, 5.172612190246582, 5.214277267456055, 5.227185249328613, 5.345196723937988, 5.148161888122559, 5.2520751953125, 5.142831802368164, 5.248316764831543, 5.1961822509765625]",5.23
3d6q,3.76,"[4.8918657302856445, 4.874081611633301, 5.033905029296875, 4.907662391662598, 4.901334762573242, 4.975659370422363, 5.0288238525390625, 5.036585807800293, 4.860913276672363, 4.915684700012207]",4.94
3dx1,3.58,"[4.688301086425781, 4.772150993347168, 4.85921573638916, 4.805041313171387, 4.7371320724487305, 4.751066207885742, 4.7742414474487305, 4.769248962402344, 4.571160316467285, 4.629785537719727]",4.74
3dx2,6.82,"[5.441306114196777, 5.379472732543945, 5.315927505493164, 5.275113105773926, 5.410861968994141, 5.280973434448242, 5.389446258544922, 5.305398941040039, 5.165407180786133, 5.264002799987793]",5.32
