pdbid,real,predictions,mean_pred
1p1n,6.8,"[6.207333087921143, 5.724653244018555, 6.169579029083252, 6.10313606262207, 6.130080223083496, 5.533849716186523, 5.395215034484863, 6.027036666870117, 5.778820037841797, 5.479435920715332]",5.85
1qkt,9.04,"[7.181804656982422, 7.1599202156066895, 7.215044021606445, 7.152161598205566, 7.134467124938965, 7.074420928955078, 7.178913116455078, 7.1845011711120605, 7.162746906280518, 7.1776556968688965]",7.16
1syi,5.44,"[5.7618489265441895, 5.749935626983643, 5.634999752044678, 5.754168510437012, 5.4705586433410645, 5.700033664703369, 5.457895278930664, 5.779324054718018, 5.583220481872559, 5.397168159484863]",5.63
1y6r,10.11,"[6.269850254058838, 6.252293586730957, 6.161771297454834, 6.2672224044799805, 6.153038501739502, 6.193986892700195, 6.097238540649414, 6.075493812561035, 6.174513816833496, 6.217615127563477]",6.19
1yc1,6.17,"[7.3543548583984375, 7.271266460418701, 7.218203544616699, 7.274444103240967, 7.196674346923828, 7.093488693237305, 7.172595024108887, 7.3259196281433105, 7.114978790283203, 6.956776142120361]",7.2
2v00,3.66,"[5.578153610229492, 5.833138465881348, 5.612431526184082, 5.607690334320068, 5.720245838165283, 5.304103851318359, 5.566200256347656, 5.514731407165527, 5.595568656921387, 5.652647972106934]",5.6
2vw5,8.52,"[8.09724235534668, 7.964653491973877, 7.989843368530273, 7.874443531036377, 8.094423294067383, 8.10838794708252, 8.155272483825684, 8.059679985046387, 7.99388313293457, 8.10767650604248]",8.04
2wer,7.05,"[6.742046356201172, 6.9831953048706055, 6.964761734008789, 6.933675765991211, 6.84405517578125, 6.922539710998535, 6.639219284057617, 6.799679756164551, 6.933201789855957, 6.942730903625488]",6.87
2wnc,6.32,"[6.80272102355957, 6.889893054962158, 6.903327941894531, 6.766554355621338, 6.910752773284912, 6.717683792114258, 6.784210205078125, 6.865411758422852, 6.812623977661133, 6.744846343994141]",6.82
2wvt,6.12,"[4.732069969177246, 4.7393083572387695, 4.728008270263672, 4.789582252502441, 4.7219438552856445, 4.727184295654297, 4.744939804077148, 4.7431159019470215, 4.726374626159668, 4.753829002380371]",4.74
2x00,11.33,"[8.434186935424805, 8.31619930267334, 8.492053985595703, 8.442510604858398, 8.427706718444824, 8.397157669067383, 8.43375015258789, 8.371112823486328, 8.322843551635742, 8.486722946166992]",8.41
2xb8,7.59,"[6.376319408416748, 6.37747049331665, 6.331815242767334, 6.271761894226074, 6.36203145980835, 6.433663368225098, 6.530365943908691, 6.479038715362549, 6.50869083404541, 6.336795806884766]",6.4
2xdl,3.1,"[5.1672539710998535, 5.120512962341309, 5.114776134490967, 5.16905403137207, 5.102319717407227, 5.231542587280273, 5.173886299133301, 5.10137414932251, 5.07150936126709, 5.105762481689453]",5.14
