pdbid,real,predictions,mean_pred
1p1n,6.8,"[4.669503688812256, 4.734282970428467, 4.731342315673828, 4.700706481933594, 4.507416248321533, 4.743156433105469, 4.815148830413818, 4.855722904205322, 4.676072597503662, 4.683316707611084]",4.71
1qkt,9.04,"[5.912195205688477, 6.092164039611816, 6.042862415313721, 6.08128023147583, 6.007379531860352, 6.023848533630371, 6.093725681304932, 5.898368835449219, 5.915307521820068, 5.932536602020264]",6.0
1syi,5.44,"[4.974730491638184, 5.086430549621582, 5.158384323120117, 5.065179347991943, 5.1744794845581055, 5.244911193847656, 4.96872091293335, 5.135804176330566, 5.122518062591553, 5.228334903717041]",5.12
1y6r,10.11,"[6.311697483062744, 6.344085693359375, 6.366792678833008, 6.398961544036865, 6.375361442565918, 6.299129962921143, 6.424346446990967, 6.411162376403809, 6.312723159790039, 6.293910026550293]",6.35
1yc1,6.17,"[6.505243301391602, 6.5340447425842285, 6.541487216949463, 6.513889789581299, 6.514036178588867, 6.449987888336182, 6.52193021774292, 6.570985317230225, 6.514057159423828, 6.515968322753906]",6.52
2v00,3.66,"[5.438492774963379, 5.532707214355469, 5.372329235076904, 5.407421588897705, 5.32316780090332, 5.218676567077637, 5.59873628616333, 5.598141193389893, 5.364408493041992, 5.39708948135376]",5.43
2vw5,8.52,"[7.460699081420898, 7.489144802093506, 7.530735492706299, 7.44415807723999, 7.486781120300293, 7.554533004760742, 7.494019985198975, 7.494487762451172, 7.483611106872559, 7.502960681915283]",7.49
2wer,7.05,"[6.411208629608154, 6.423496246337891, 6.442404747009277, 6.388908386230469, 6.366915225982666, 6.482598781585693, 6.346151351928711, 6.40933084487915, 6.360140323638916, 6.463339328765869]",6.41
2wnc,6.32,"[6.325935363769531, 6.2423095703125, 6.30096435546875, 6.249191761016846, 6.278354644775391, 6.295110702514648, 6.276103973388672, 6.380800247192383, 6.135893821716309, 6.312768936157227]",6.28
2wvt,6.12,"[4.5707244873046875, 4.529343605041504, 4.528371334075928, 4.570211887359619, 4.535388946533203, 4.563852787017822, 4.547633171081543, 4.54464864730835, 4.546414375305176, 4.584388732910156]",4.55
2x00,11.33,"[7.80263614654541, 7.776017189025879, 7.83395528793335, 7.835599899291992, 7.765150547027588, 7.848379611968994, 7.752071857452393, 7.830410003662109, 7.800576686859131, 7.776675224304199]",7.8
2xb8,7.59,"[5.835590839385986, 5.8753662109375, 5.860063552856445, 5.853209495544434, 5.864917755126953, 5.754456043243408, 5.687413215637207, 5.790633678436279, 5.835912704467773, 5.764357566833496]",5.81
2xdl,3.1,"[4.746364593505859, 4.687496185302734, 4.820640563964844, 4.737183570861816, 4.712113380432129, 4.668272018432617, 4.769324779510498, 4.759311199188232, 4.884176731109619, 4.726965427398682]",4.75
2xii,7.2,"[6.591188907623291, 6.599305629730225, 6.679022789001465, 6.500579833984375, 6.6071038246154785, 6.550240993499756, 6.455043315887451, 6.589231967926025, 6.619411468505859, 6.620941638946533]",6.58
2yki,9.46,"[7.086467742919922, 7.261519908905029, 7.224177837371826, 7.0576043128967285, 7.154296875, 7.180740833282471, 7.2176690101623535, 7.165953159332275, 7.219098091125488, 7.303818225860596]",7.19
2ymd,3.16,"[4.012552261352539, 4.148489952087402, 4.105837821960449, 4.06222677230835, 4.073148727416992, 4.032256126403809, 4.112293720245361, 4.053479194641113, 4.0786333084106445, 4.006860733032227]",4.07
3aru,3.22,"[5.630548477172852, 5.810581684112549, 5.805417060852051, 5.705656051635742, 5.682407379150391, 5.81256103515625, 5.837222099304199, 5.902161598205566, 5.851016521453857, 5.807532787322998]",5.78
3ary,6.0,"[6.173385143280029, 6.21306037902832, 6.223681449890137, 6.161056041717529, 6.185666084289551, 6.085989952087402, 6.13065242767334, 6.196869850158691, 6.135913848876953, 6.072747707366943]",6.16
3b27,5.16,"[5.360748291015625, 5.36060094833374, 5.378469467163086, 5.329503536224365, 5.4012675285339355, 5.424387454986572, 5.381871223449707, 5.343141078948975, 5.438337802886963, 5.449639320373535]",5.39
3b5r,8.77,"[6.926795959472656, 7.017564296722412, 7.024080753326416, 7.071730136871338, 7.022101402282715, 7.042552947998047, 6.93787145614624, 7.000871181488037, 7.058342933654785, 6.97069787979126]",7.01
3b65,9.27,"[6.47566032409668, 6.463953495025635, 6.4611310958862305, 6.43766975402832, 6.489738464355469, 6.452452659606934, 6.417435646057129, 6.40811014175415, 6.470005035400391, 6.482748508453369]",6.46
3b68,8.4,"[6.857497692108154, 7.058155536651611, 6.961648464202881, 6.9105119705200195, 7.033408164978027, 7.001790523529053, 6.986014366149902, 7.0017876625061035, 6.973516464233398, 7.020263671875]",6.98
3d4z,4.89,"[4.634397983551025, 4.631865501403809, 4.648205280303955, 4.60001277923584, 4.601052761077881, 4.635499954223633, 4.615169525146484, 4.623353004455566, 4.649369239807129, 4.652283668518066]",4.63
3d6q,3.76,"[5.825104713439941, 5.799437999725342, 5.7222208976745605, 5.796867847442627, 5.762139320373535, 5.777893543243408, 5.739789009094238, 5.791792392730713, 5.900993347167969, 5.667997360229492]",5.78
3dx1,3.58,"[4.581880569458008, 4.57732629776001, 4.530704498291016, 4.4937872886657715, 4.557585716247559, 4.59890079498291, 4.559687614440918, 4.535283088684082, 4.570578098297119, 4.5997514724731445]",4.56
3dx2,6.82,"[4.569188117980957, 4.582883358001709, 4.490716457366943, 4.556499481201172, 4.590804100036621, 4.441835403442383, 4.558044910430908, 4.656368732452393, 4.667500019073486, 4.514024257659912]",4.56
3dxg,2.4,"[4.949491500854492, 5.011308193206787, 4.893756866455078, 4.850042819976807, 4.967648029327393, 4.963642597198486, 4.820346832275391, 4.874335289001465, 4.950138092041016, 4.9009270668029785]",4.92
3ehy,5.85,"[5.3816304206848145, 5.383103370666504, 5.455992698669434, 5.257234573364258, 5.438276767730713, 5.371845722198486, 5.429727554321289, 5.323698043823242, 5.34323263168335, 5.512753009796143]",5.39
3ejr,8.57,"[6.96523380279541, 6.78405237197876, 6.971925735473633, 7.05666971206665, 6.839722156524658, 6.886815547943115, 6.959761619567871, 6.765712738037109, 6.852132320404053, 6.7874555587768555]",6.89
3fcq,2.77,"[4.167399883270264, 4.1225056648254395, 4.186990737915039, 4.218978404998779, 4.121984004974365, 4.158567428588867, 4.106717109680176, 4.08746862411499, 4.005655765533447, 4.091822624206543]",4.13
3g0w,9.52,"[6.694174766540527, 6.656988143920898, 6.695842742919922, 6.632521152496338, 6.657099723815918, 6.647223472595215, 6.778146743774414, 6.7412567138671875, 6.690846920013428, 6.735533714294434]",6.69
3gbb,6.9,"[4.808492660522461, 4.8802666664123535, 4.7180986404418945, 4.868470668792725, 4.786744117736816, 4.825160026550293, 4.7489213943481445, 4.768346309661865, 4.792911529541016, 4.739792823791504]",4.79
3gr2,2.52,"[4.735973834991455, 4.921232223510742, 4.846977710723877, 4.825001239776611, 4.792440891265869, 4.738597869873047, 4.902348041534424, 4.809741020202637, 5.016117095947266, 4.828456878662109]",4.84
3gv9,2.12,"[4.156999588012695, 4.122267246246338, 4.129321098327637, 4.169713973999023, 4.084187984466553, 4.08294153213501, 4.095110893249512, 4.092020034790039, 4.158787727355957, 4.090003490447998]",4.12
3jya,6.89,"[5.051851272583008, 5.125875949859619, 5.164914608001709, 5.02362060546875, 5.127857685089111, 5.157994747161865, 5.117928504943848, 5.138516902923584, 5.077428817749023, 5.103704929351807]",5.11
3lka,2.82,"[4.632154941558838, 4.556926250457764, 4.656191349029541, 4.5958709716796875, 4.574990749359131, 4.578084468841553, 4.735143184661865, 4.687110900878906, 4.55173397064209, 4.647759914398193]",4.62
3n76,6.85,"[6.335282325744629, 6.2967352867126465, 6.2904229164123535, 6.4102559089660645, 6.26356840133667, 6.272416114807129, 6.268567085266113, 6.309270858764648, 6.3281097412109375, 6.2168779373168945]",6.3
3n86,5.64,"[6.42716646194458, 6.385255336761475, 6.386510848999023, 6.349845886230469, 6.274808883666992, 6.337392807006836, 6.4067769050598145, 6.268418788909912, 6.390928745269775, 6.326964378356934]",6.36
3nq9,4.03,"[4.469612121582031, 4.61539888381958, 4.409944534301758, 4.632313251495361, 4.507044315338135, 4.653764724731445, 4.63783597946167, 4.629798412322998, 4.581384658813477, 4.443074703216553]",4.56
3nx7,8.1,"[5.584323883056641, 5.725862979888916, 5.552546977996826, 5.42525577545166, 5.5349907875061035, 5.590834617614746, 5.577446460723877, 5.36984395980835, 5.605809688568115, 5.49971342086792]",5.55
3o9i,11.82,"[7.775025367736816, 7.838585376739502, 7.655353546142578, 7.759372234344482, 7.782761573791504, 7.8162031173706055, 7.809372425079346, 7.795281410217285, 7.795751571655273, 7.786820888519287]",7.78
3ozs,5.33,"[6.3996100425720215, 6.57250452041626, 6.452734470367432, 6.614711284637451, 6.471900463104248, 6.441771030426025, 6.582716464996338, 6.434793472290039, 6.495303153991699, 6.617733001708984]",6.51
3ozt,4.13,"[6.420042991638184, 6.116674423217773, 6.179228782653809, 6.338504314422607, 6.263803958892822, 6.323139667510986, 6.199923515319824, 6.198977947235107, 6.146528244018555, 6.19389009475708]",6.24
3p5o,7.26,"[6.797750949859619, 6.930641174316406, 6.830799102783203, 6.827047348022461, 6.802698135375977, 6.721571445465088, 6.792649269104004, 6.895999908447266, 6.808969020843506, 6.828392028808594]",6.82
3prs,7.82,"[7.80941104888916, 7.793766498565674, 7.738149642944336, 7.8503336906433105, 7.664681434631348, 7.836357116699219, 7.719156265258789, 7.7326765060424805, 7.863563060760498, 7.7703423500061035]",7.78
3pww,7.32,"[7.518198490142822, 7.4952263832092285, 7.464263439178467, 7.592597007751465, 7.371643543243408, 7.46975564956665, 7.5086669921875, 7.439454555511475, 7.404734134674072, 7.5201897621154785]",7.48
3qqs,5.82,"[5.123153209686279, 4.967986106872559, 5.061255931854248, 5.043265342712402, 4.999104976654053, 5.045619010925293, 5.090676784515381, 5.029608726501465, 4.929174900054932, 5.149604320526123]",5.04
3rlr,7.52,"[6.149801254272461, 6.191371440887451, 6.260891914367676, 6.206735610961914, 6.1428914070129395, 6.239169120788574, 6.227651119232178, 6.2563934326171875, 6.187055587768555, 6.178967475891113]",6.2
3tsk,7.17,"[7.216721057891846, 7.262592315673828, 7.170179843902588, 7.354629039764404, 7.100691795349121, 7.1244940757751465, 7.229809284210205, 7.11796760559082, 7.187253475189209, 7.190648555755615]",7.2
3twp,3.92,"[4.001792907714844, 4.003605842590332, 3.9589478969573975, 4.00347375869751, 4.029521942138672, 3.9752540588378906, 4.038272857666016, 4.013294696807861, 3.9629640579223633, 4.001763343811035]",4.0
3u5j,5.61,"[5.663450241088867, 5.606393337249756, 5.706149578094482, 5.656797409057617, 5.617002487182617, 5.699872970581055, 5.6751909255981445, 5.706531047821045, 5.712549209594727, 5.672060012817383]",5.67
3ui7,9.0,"[6.428806781768799, 6.436670780181885, 6.433221817016602, 6.454739570617676, 6.519515514373779, 6.359731674194336, 6.3778228759765625, 6.481809139251709, 6.337664604187012, 6.448511123657227]",6.43
3uo4,6.52,"[6.818457126617432, 6.878781795501709, 6.919015884399414, 6.862116813659668, 6.9125213623046875, 6.901853561401367, 6.892695426940918, 6.907383441925049, 6.875575065612793, 6.836099624633789]",6.88
3up2,7.4,"[7.033874988555908, 7.008713245391846, 7.028020858764648, 7.10330867767334, 7.034322738647461, 7.058860778808594, 7.016453266143799, 7.051795482635498, 6.968682765960693, 7.030824184417725]",7.03
3uuo,7.96,"[6.42478609085083, 6.468809604644775, 6.423031330108643, 6.490075588226318, 6.489296913146973, 6.4408416748046875, 6.417604923248291, 6.426924705505371, 6.45283842086792, 6.535599708557129]",6.46
3wtj,6.53,"[5.364872932434082, 5.518184185028076, 5.501209259033203, 5.561038494110107, 5.532948017120361, 5.47981595993042, 5.404825210571289, 5.445544242858887, 5.523045063018799, 5.502215385437012]",5.48
3wz8,5.82,"[7.156479835510254, 7.200101852416992, 7.118999004364014, 7.139805316925049, 7.184444904327393, 7.222817897796631, 7.0380706787109375, 7.180120468139648, 7.219348907470703, 7.07433557510376]",7.15
4agn,3.97,"[6.808714389801025, 6.6751532554626465, 6.774378299713135, 6.858740329742432, 6.790647029876709, 6.813063621520996, 6.677268981933594, 6.70671272277832, 6.725783348083496, 6.789052486419678]",6.76
4agp,4.69,"[7.226811408996582, 7.227438449859619, 7.285900592803955, 7.238866806030273, 7.18535041809082, 7.224376201629639, 7.26841402053833, 7.3230462074279785, 7.159931659698486, 7.20859956741333]",7.23
4agq,5.01,"[7.114865779876709, 7.110942840576172, 7.227565288543701, 7.154372215270996, 7.092713832855225, 7.067361831665039, 7.198655605316162, 7.196006774902344, 7.1393208503723145, 7.1737470626831055]",7.15
4ciw,4.82,"[4.833159923553467, 4.851306915283203, 4.9184346199035645, 4.873130798339844, 4.885843276977539, 4.909183502197266, 4.925533294677734, 4.866278171539307, 4.886345863342285, 4.931573390960693]",4.89
4dld,5.82,"[6.188623428344727, 6.187575817108154, 6.227950096130371, 6.317291259765625, 6.372819423675537, 6.375708103179932, 6.278323650360107, 6.329055309295654, 6.200567722320557, 6.305333137512207]",6.28
4f2w,11.3,"[6.352771282196045, 6.475808143615723, 6.480631351470947, 6.46212100982666, 6.4720683097839355, 6.4813385009765625, 6.505396842956543, 6.476744174957275, 6.445152282714844, 6.491209983825684]",6.46
4f3c,11.82,"[6.891761302947998, 6.954527854919434, 6.918554782867432, 6.976447582244873, 6.908835411071777, 6.917633056640625, 6.884237766265869, 6.920057773590088, 6.871420383453369, 6.957901477813721]",6.92
4gid,10.77,"[7.701194763183594, 7.671107292175293, 7.737038612365723, 7.6704277992248535, 7.717604637145996, 7.723604679107666, 7.719573497772217, 7.729626178741455, 7.757206916809082, 7.744574069976807]",7.72
4j28,5.7,"[5.353270530700684, 5.501862525939941, 5.435337543487549, 5.3322296142578125, 5.207147121429443, 5.490041732788086, 5.4414591789245605, 5.260781764984131, 5.194533824920654, 5.309136390686035]",5.35
4jfs,5.27,"[5.149902820587158, 5.558176040649414, 5.360300540924072, 5.341953277587891, 5.479419708251953, 5.420262813568115, 5.3012919425964355, 5.162498474121094, 5.292416095733643, 5.209112167358398]",5.33
4jxs,4.74,"[6.573105335235596, 6.531662940979004, 6.532453536987305, 6.486721992492676, 6.644948482513428, 6.579809665679932, 6.5327911376953125, 6.571578025817871, 6.5918097496032715, 6.522181510925293]",6.56
4k18,8.96,"[6.9299516677856445, 6.878386974334717, 6.917399883270264, 6.8437700271606445, 6.772410869598389, 6.856035232543945, 6.919269561767578, 6.780515670776367, 6.819756984710693, 6.800684928894043]",6.85
4kz6,3.1,"[5.05687141418457, 5.180187702178955, 5.078904628753662, 5.137502193450928, 4.994716644287109, 5.062004566192627, 5.0857133865356445, 5.146068096160889, 5.073455810546875, 5.072126388549805]",5.09
4kzq,6.1,"[4.805434226989746, 4.895029067993164, 4.845310211181641, 4.832747459411621, 4.780324459075928, 4.856954097747803, 4.854979515075684, 4.779844760894775, 4.864448547363281, 4.9024763107299805]",4.84
4kzu,6.5,"[4.9080810546875, 4.913632869720459, 4.905281066894531, 4.963727951049805, 4.969160079956055, 4.941702842712402, 5.03939151763916, 4.946107864379883, 4.901633262634277, 4.994491100311279]",4.95
