pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.5333356857299805, 5.548305034637451, 5.5808916091918945, 5.598888874053955, 5.762233257293701, 5.458588600158691, 5.63280725479126, 5.627993106842041, 5.719719886779785, 5.747278690338135]",5.62
1qkt,9.04,"[7.329429626464844, 7.32101583480835, 7.253874778747559, 7.3379364013671875, 7.3277387619018555, 7.381460189819336, 7.2798967361450195, 7.273928642272949, 7.243677616119385, 7.295311450958252]",7.3
1syi,5.44,"[5.499880790710449, 5.617630481719971, 5.739247798919678, 5.644414901733398, 5.716749668121338, 5.40126371383667, 5.667510032653809, 5.686119079589844, 5.714348793029785, 5.6968770027160645]",5.64
1y6r,10.11,"[6.253698348999023, 5.890478610992432, 6.116159439086914, 6.117338180541992, 6.221312046051025, 6.1510210037231445, 5.9699602127075195, 6.166651725769043, 6.156088829040527, 6.430351257324219]",6.15
1yc1,6.17,"[6.835593223571777, 6.700031757354736, 6.753625869750977, 6.79310417175293, 6.4835100173950195, 6.727893829345703, 6.6559882164001465, 6.787909030914307, 6.497851371765137, 6.604462146759033]",6.68
2v00,3.66,"[5.078173637390137, 5.411585330963135, 5.503650665283203, 5.383218765258789, 5.1629791259765625, 5.237104415893555, 5.253353595733643, 5.43487548828125, 5.072196960449219, 5.402684688568115]",5.29
2vw5,8.52,"[7.422338008880615, 7.376546382904053, 7.410992622375488, 7.342280387878418, 7.403328895568848, 7.3334126472473145, 7.376811981201172, 7.379000663757324, 7.358237266540527, 7.388083457946777]",7.38
2wer,7.05,"[7.078635215759277, 7.005273818969727, 7.000415802001953, 7.0665154457092285, 6.945422172546387, 7.080705642700195, 7.174251079559326, 7.110234260559082, 7.180957794189453, 6.957272529602051]",7.06
2wnc,6.32,"[6.966250896453857, 6.844717025756836, 6.789298057556152, 6.983871936798096, 6.946047782897949, 6.815375328063965, 6.831824779510498, 6.558542251586914, 6.709743022918701, 6.931009292602539]",6.84
2wvt,6.12,"[5.5788044929504395, 5.392003536224365, 5.657655715942383, 5.185471057891846, 5.827437877655029, 5.378547191619873, 5.749566078186035, 5.892708778381348, 5.666574001312256, 5.240462779998779]",5.56
2x00,11.33,"[7.02768087387085, 6.826709270477295, 6.926661491394043, 6.971059799194336, 6.884256839752197, 6.995022773742676, 6.901915550231934, 6.839315414428711, 6.917473793029785, 6.848989486694336]",6.91
2xb8,7.59,"[6.431205749511719, 6.324455261230469, 6.507765293121338, 6.4499616622924805, 6.172912120819092, 6.246840476989746, 6.311728000640869, 6.501841068267822, 6.080596923828125, 6.26821231842041]",6.33
2xdl,3.1,"[6.228451728820801, 6.203220844268799, 6.23436164855957, 6.1562347412109375, 6.167342185974121, 6.287711143493652, 6.323293209075928, 6.355839729309082, 6.145793437957764, 6.244467735290527]",6.23
2xii,7.2,"[7.184606075286865, 7.232896327972412, 7.212376117706299, 7.348278045654297, 7.267969608306885, 7.161423683166504, 7.386374473571777, 7.380826950073242, 7.433804512023926, 7.233033657073975]",7.28
2yki,9.46,"[7.34209680557251, 7.472731113433838, 7.37241792678833, 7.378110408782959, 7.375786781311035, 7.354452133178711, 7.3288140296936035, 7.204719066619873, 7.380446910858154, 7.418506145477295]",7.36
2ymd,3.16,"[5.264634132385254, 5.071553707122803, 5.6725568771362305, 5.389535903930664, 5.257205486297607, 5.3126606941223145, 5.562452793121338, 5.088330268859863, 5.339812755584717, 5.222743034362793]",5.32
3aru,3.22,"[5.023250579833984, 4.751654148101807, 5.33759069442749, 5.062834739685059, 4.957616329193115, 5.1366424560546875, 5.064391136169434, 5.005663871765137, 5.097314834594727, 5.1754889488220215]",5.06
3ary,6.0,"[4.7432403564453125, 4.775547981262207, 4.723466396331787, 4.8171067237854, 4.781184673309326, 4.855963706970215, 4.843987464904785, 4.77959680557251, 4.746180057525635, 4.810103416442871]",4.79
3b27,5.16,"[5.489634037017822, 5.796454429626465, 5.616634845733643, 5.643749713897705, 5.815411567687988, 5.550116062164307, 5.6368303298950195, 5.32338285446167, 5.604220390319824, 5.821786880493164]",5.63
3b5r,8.77,"[7.238380432128906, 7.243444442749023, 7.332813262939453, 7.3158135414123535, 7.30647087097168, 7.36310338973999, 7.3844804763793945, 7.412197113037109, 7.325009822845459, 7.373865127563477]",7.33
3b65,9.27,"[7.249997138977051, 7.131232261657715, 7.228167533874512, 7.206620693206787, 7.278336048126221, 7.215591907501221, 6.991226673126221, 7.276840686798096, 7.248044967651367, 7.269899845123291]",7.21
3b68,8.4,"[7.1900739669799805, 7.26984977722168, 7.154096603393555, 7.138409614562988, 7.0801310539245605, 7.1725897789001465, 7.268070697784424, 7.130224227905273, 7.327057361602783, 7.080482006072998]",7.18
3d4z,4.89,"[4.950981616973877, 5.14337158203125, 5.273826599121094, 6.26817512512207, 5.776923179626465, 5.572831153869629, 5.004065036773682, 5.5967841148376465, 5.614363670349121, 5.375485897064209]",5.46
3d6q,3.76,"[5.594003677368164, 5.336108684539795, 5.935396671295166, 5.567995548248291, 5.586888313293457, 5.466296195983887, 5.440881729125977, 5.753865718841553, 5.701807498931885, 5.269260406494141]",5.57
3dx1,3.58,"[4.649292945861816, 4.701333999633789, 4.720919609069824, 4.647824287414551, 4.661740779876709, 4.674599647521973, 4.672874450683594, 4.640859127044678, 4.672845363616943, 4.682901859283447]",4.67
3dx2,6.82,"[5.10214376449585, 5.128994941711426, 4.906346797943115, 5.038974761962891, 5.345742225646973, 5.158702850341797, 4.8492751121521, 5.106510639190674, 5.336448669433594, 5.059635639190674]",5.1
3dxg,2.4,"[5.5595574378967285, 5.397629737854004, 5.410502910614014, 5.670021057128906, 5.223124027252197, 5.401426315307617, 5.469439506530762, 5.517639636993408, 5.7198100090026855, 5.507326602935791]",5.49
3ehy,5.85,"[5.91255521774292, 6.460942268371582, 5.7204508781433105, 5.6133623123168945, 5.951953411102295, 5.544587135314941, 6.606693744659424, 6.1778645515441895, 5.123534679412842, 5.9789605140686035]",5.91
3ejr,8.57,"[7.229681015014648, 7.261322021484375, 7.340862274169922, 7.430230140686035, 7.117744445800781, 7.315065860748291, 7.381811618804932, 7.339537620544434, 7.21920108795166, 7.118776798248291]",7.28
3fcq,2.77,"[6.971370697021484, 7.001657962799072, 7.017951488494873, 6.908843517303467, 6.670905113220215, 6.965945720672607, 6.897401332855225, 7.120825290679932, 7.096938610076904, 6.974025726318359]",6.96
3g0w,9.52,"[7.2417168617248535, 7.164243698120117, 7.217494487762451, 7.164849758148193, 7.0904998779296875, 7.210276126861572, 7.246404647827148, 7.225141525268555, 7.360601902008057, 7.155159950256348]",7.21
