pdbid,real,predictions,mean_pred
1p1n,6.8,"[4.935398101806641, 5.88639497756958, 5.37646484375, 5.349217891693115, 5.098609924316406, 5.319808006286621, 6.3480939865112305, 5.88680362701416, 5.811671257019043, 5.777423858642578]",5.58
1qkt,9.04,"[6.596963405609131, 6.431389808654785, 6.174684524536133, 6.244124412536621, 6.227478981018066, 6.7160186767578125, 6.295029163360596, 6.444856643676758, 6.28784704208374, 6.545829772949219]",6.4
1syi,5.44,"[5.238284111022949, 4.831048488616943, 5.421188831329346, 5.141119956970215, 5.743111610412598, 5.542503833770752, 5.1461358070373535, 5.489344596862793, 5.197337627410889, 5.695836544036865]",5.34
1y6r,10.11,"[7.366835594177246, 7.2807087898254395, 7.46988582611084, 7.5449323654174805, 7.365795135498047, 7.004913806915283, 7.941294193267822, 7.921354293823242, 7.432971477508545, 6.73054313659668]",7.41
1yc1,6.17,"[6.450822830200195, 6.361232757568359, 6.002823352813721, 6.383439064025879, 6.025493621826172, 6.416964530944824, 6.023978233337402, 6.368652820587158, 5.960799217224121, 6.585108757019043]",6.26
2v00,3.66,"[4.505896091461182, 4.617928504943848, 5.427916526794434, 5.345580101013184, 5.246369361877441, 4.3350749015808105, 4.837496280670166, 5.140636920928955, 5.053184509277344, 5.054471492767334]",4.96
2vw5,8.52,"[6.979490280151367, 6.9473114013671875, 7.027470588684082, 6.541383743286133, 7.1688947677612305, 6.930516242980957, 7.282944679260254, 7.003379821777344, 6.455125331878662, 6.656917572021484]",6.9
2wer,7.05,"[6.044917106628418, 6.520817756652832, 6.217308044433594, 6.632834434509277, 6.102032661437988, 6.675334453582764, 6.134449481964111, 6.150702953338623, 6.107096195220947, 6.279314994812012]",6.29
2wnc,6.32,"[7.002108573913574, 6.748780250549316, 6.635120391845703, 6.698942184448242, 6.847949981689453, 6.894609451293945, 6.792802810668945, 7.052803993225098, 6.580657005310059, 6.668370246887207]",6.79
2wvt,6.12,"[7.171606063842773, 7.054245948791504, 6.623027801513672, 7.118213653564453, 8.100541114807129, 7.193950653076172, 6.747420787811279, 6.55277156829834, 8.593069076538086, 6.92202091217041]",7.21
2x00,11.33,"[8.378623008728027, 7.610923767089844, 7.294308662414551, 7.482802391052246, 7.883100509643555, 7.451625347137451, 7.6718220710754395, 7.485305309295654, 7.921351432800293, 7.8622894287109375]",7.7
2xb8,7.59,"[5.765478134155273, 5.629891395568848, 6.006906509399414, 5.502631187438965, 5.588454246520996, 5.465756416320801, 5.3560686111450195, 5.661480903625488, 5.895610332489014, 5.524493217468262]",5.64
2xdl,3.1,"[5.061422824859619, 4.6662068367004395, 4.646340370178223, 4.724023342132568, 4.5790696144104, 4.894824028015137, 4.89395809173584, 4.817663192749023, 4.907650470733643, 4.7762451171875]",4.8
