pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.582458972930908, 4.589419364929199, 6.1212544441223145, 5.827104568481445, 5.763919353485107, 5.137388706207275, 4.876990795135498, 5.961069107055664, 5.178900241851807, 4.867978096008301]",5.39
1qkt,9.04,"[7.4910712242126465, 7.057704925537109, 6.888821125030518, 7.222602844238281, 7.070346355438232, 7.108056545257568, 7.0501790046691895, 7.253777027130127, 7.273623943328857, 7.271205425262451]",7.17
1syi,5.44,"[6.231302261352539, 5.777711391448975, 5.976304054260254, 6.107657432556152, 6.0242438316345215, 5.8070149421691895, 6.050716876983643, 6.233633041381836, 6.2944231033325195, 6.368919372558594]",6.09
1y6r,10.11,"[6.738353252410889, 7.299421310424805, 6.983957290649414, 6.946605205535889, 6.904301643371582, 6.9460039138793945, 6.962377071380615, 7.106390953063965, 7.1019134521484375, 6.998989582061768]",7.0
1yc1,6.17,"[6.88353157043457, 6.743823051452637, 6.9397358894348145, 6.974544525146484, 6.928418159484863, 7.229606628417969, 6.652385234832764, 6.913432598114014, 6.659566402435303, 6.83389139175415]",6.88
2v00,3.66,"[5.3770623207092285, 5.4657301902771, 5.285876750946045, 5.202363967895508, 5.676977634429932, 4.413632869720459, 5.5036773681640625, 5.406918048858643, 5.3187737464904785, 5.608302116394043]",5.33
2vw5,8.52,"[7.481648921966553, 7.699663162231445, 7.167921543121338, 7.940008163452148, 7.646592617034912, 7.484828948974609, 7.668802738189697, 7.449458599090576, 7.547367572784424, 7.617097854614258]",7.57
2wer,7.05,"[6.440512657165527, 6.330381870269775, 6.783615589141846, 6.478786945343018, 6.76657247543335, 6.878329277038574, 6.716840744018555, 6.534179210662842, 6.804074764251709, 6.417578220367432]",6.62
2wnc,6.32,"[6.999456882476807, 6.975636959075928, 6.842947483062744, 7.08021879196167, 7.123824596405029, 7.024205684661865, 6.942454814910889, 7.087402820587158, 6.707854270935059, 6.965476989746094]",6.97
2wvt,6.12,"[5.08290958404541, 5.190978527069092, 5.023334980010986, 5.223971366882324, 5.0111470222473145, 5.1778974533081055, 5.056665897369385, 5.099263668060303, 5.075366497039795, 5.1068501472473145]",5.1
2x00,11.33,"[8.002615928649902, 7.67096471786499, 7.680208683013916, 7.890413761138916, 7.692789554595947, 7.847114086151123, 7.671955585479736, 7.5356831550598145, 7.976248741149902, 7.448894023895264]",7.74
2xb8,7.59,"[6.463569164276123, 6.5049567222595215, 6.2555060386657715, 5.989059925079346, 6.515068531036377, 6.2550883293151855, 6.559620380401611, 6.3667192459106445, 6.489790916442871, 6.387790203094482]",6.38
2xdl,3.1,"[5.834512233734131, 5.695026397705078, 5.783291339874268, 5.7072834968566895, 5.763173580169678, 5.684373378753662, 5.881552219390869, 5.6591477394104, 5.801177978515625, 5.913507461547852]",5.77
2xii,7.2,"[7.373365879058838, 7.191591739654541, 7.205468654632568, 7.133619785308838, 6.438644886016846, 7.278384208679199, 7.678175449371338, 7.417815685272217, 6.494716167449951, 6.97642183303833]",7.12
