pdbid,real,predictions,mean_pred
1p1n,6.8,"[4.7055206298828125, 4.672555923461914, 5.31899881362915, 5.0363969802856445, 5.09084415435791, 4.441442489624023, 4.8312788009643555, 5.098830699920654, 4.760880470275879, 4.7728166580200195]",4.87
1qkt,9.04,"[6.771361827850342, 6.78066873550415, 6.5258469581604, 7.1599836349487305, 6.560170650482178, 6.744547367095947, 7.246100425720215, 6.596607685089111, 7.06093692779541, 6.817880630493164]",6.83
1syi,5.44,"[5.3254289627075195, 5.595553874969482, 5.699267387390137, 5.245021343231201, 5.584710597991943, 5.534172058105469, 5.75860071182251, 5.480496883392334, 5.735014915466309, 5.580056667327881]",5.55
1y6r,10.11,"[6.0477471351623535, 6.181198596954346, 6.052494525909424, 6.000307083129883, 6.12340784072876, 6.1666483879089355, 5.992471694946289, 6.109498977661133, 5.854170799255371, 6.06368350982666]",6.06
1yc1,6.17,"[6.232853889465332, 6.22139835357666, 6.229668617248535, 6.31505823135376, 6.2538299560546875, 6.097170352935791, 6.071057319641113, 6.257244110107422, 6.2707037925720215, 6.344330310821533]",6.23
2v00,3.66,"[4.38420295715332, 4.794288635253906, 4.721240997314453, 4.378037452697754, 4.4189958572387695, 3.9545340538024902, 4.549338340759277, 4.62272834777832, 4.577431678771973, 4.501377105712891]",4.49
2vw5,8.52,"[7.075390338897705, 7.140019416809082, 7.161972999572754, 7.216857433319092, 7.271381378173828, 7.282198429107666, 7.164738178253174, 7.229638576507568, 7.379103183746338, 7.305227279663086]",7.22
2wer,7.05,"[6.104576110839844, 6.606083393096924, 6.55097770690918, 6.489218711853027, 6.467536449432373, 6.610677719116211, 6.523678302764893, 6.670555591583252, 6.59967565536499, 6.419088840484619]",6.5
2wnc,6.32,"[6.265191555023193, 5.90045166015625, 5.958471298217773, 6.768525123596191, 6.829814434051514, 6.465183258056641, 6.0763678550720215, 7.09906530380249, 6.098198890686035, 6.33162260055542]",6.38
2wvt,6.12,"[5.289906024932861, 5.085299491882324, 4.976195335388184, 4.894530296325684, 5.3468523025512695, 4.904473304748535, 5.190981864929199, 5.152186393737793, 4.914826393127441, 5.095278263092041]",5.09
2x00,11.33,"[8.680787086486816, 8.443046569824219, 8.546585083007812, 8.548405647277832, 8.67722225189209, 8.631613731384277, 8.459247589111328, 8.498083114624023, 8.51654052734375, 8.482603073120117]",8.55
2xb8,7.59,"[6.175675868988037, 6.106845855712891, 6.051878929138184, 5.994320869445801, 6.033066749572754, 5.801111698150635, 6.06082010269165, 5.768296241760254, 5.5192694664001465, 6.032571315765381]",5.95
2xdl,3.1,"[4.762077331542969, 4.734144687652588, 4.964922904968262, 4.953763008117676, 5.0551347732543945, 4.995304107666016, 5.106455326080322, 4.8260297775268555, 4.982165336608887, 4.862876892089844]",4.92
2xii,7.2,"[7.242228984832764, 7.073193073272705, 7.120365142822266, 7.200289726257324, 7.030159950256348, 7.181058883666992, 6.914215564727783, 7.065345287322998, 7.391519546508789, 6.887225151062012]",7.11
2yki,9.46,"[8.202878952026367, 8.46052360534668, 8.640264511108398, 7.968684196472168, 8.497711181640625, 8.389265060424805, 8.45747184753418, 8.241340637207031, 8.137615203857422, 8.338982582092285]",8.33
2ymd,3.16,"[4.717587947845459, 4.790283203125, 4.516753196716309, 4.724395751953125, 4.515961647033691, 4.800084114074707, 4.72188138961792, 5.044244766235352, 4.896044731140137, 4.678354263305664]",4.74
3aru,3.22,"[5.432498455047607, 4.761910438537598, 5.463885307312012, 5.592267036437988, 4.968977928161621, 5.19481086730957, 4.97983980178833, 5.239173412322998, 5.337553977966309, 5.415132522583008]",5.24
