pdbid,real,predictions,mean_pred
1p1n,6.8,"[6.496764659881592, 6.039503574371338, 5.151642799377441, 5.53776741027832, 5.469299793243408, 5.79554557800293, 6.368119716644287, 5.7792205810546875, 6.1923089027404785, 6.498092174530029]",5.93
1qkt,9.04,"[7.708476543426514, 7.310708045959473, 7.440465450286865, 7.522413730621338, 7.280799865722656, 7.531630039215088, 7.517466068267822, 7.134706974029541, 7.343002796173096, 7.141170978546143]",7.39
1syi,5.44,"[4.6226677894592285, 4.976844787597656, 5.834837436676025, 5.1642632484436035, 6.113025188446045, 5.302337646484375, 5.8690056800842285, 5.302733898162842, 5.732832431793213, 6.287149906158447]",5.52
1y6r,10.11,"[5.915915012359619, 6.412474155426025, 6.251704692840576, 6.3707804679870605, 6.0851006507873535, 6.180543422698975, 6.429846286773682, 6.76476526260376, 6.110979080200195, 5.9713921546936035]",6.25
1yc1,6.17,"[6.6347246170043945, 6.51670503616333, 6.452031135559082, 6.682878017425537, 7.47753381729126, 7.0496087074279785, 6.7097625732421875, 6.416959285736084, 6.6856913566589355, 5.957194805145264]",6.66
2v00,3.66,"[5.47523307800293, 5.9827880859375, 5.466212272644043, 5.633717060089111, 6.039816379547119, 6.1485209465026855, 5.146618366241455, 5.293639183044434, 5.298932075500488, 5.091013431549072]",5.56
2vw5,8.52,"[7.164370536804199, 7.385788440704346, 6.809991359710693, 7.047995090484619, 8.04578971862793, 7.594015598297119, 6.847989082336426, 7.3729777336120605, 7.379940032958984, 7.573946475982666]",7.32
2wer,7.05,"[6.895484924316406, 6.403653621673584, 6.166658878326416, 6.829102993011475, 6.377371311187744, 6.979025363922119, 6.6471428871154785, 6.57954216003418, 5.8286519050598145, 6.793304920196533]",6.55
2wnc,6.32,"[5.613203048706055, 5.230618000030518, 6.0187907218933105, 5.794768333435059, 6.555556774139404, 5.829779148101807, 5.940674304962158, 5.708094596862793, 5.668193817138672, 6.064549922943115]",5.84
2wvt,6.12,"[6.1925506591796875, 5.7078657150268555, 5.893741607666016, 6.401179790496826, 6.16636323928833, 5.610595226287842, 6.298877239227295, 6.646416187286377, 6.368469715118408, 5.8015313148498535]",6.11
2x00,11.33,"[7.416121959686279, 6.503985404968262, 7.380802631378174, 7.555774211883545, 6.944610118865967, 7.509261608123779, 7.1265788078308105, 7.374429225921631, 7.542516231536865, 7.121031284332275]",7.25
2xb8,7.59,"[5.5782904624938965, 4.9855852127075195, 5.279923439025879, 5.4648919105529785, 5.7889580726623535, 5.94650411605835, 5.766384601593018, 5.417660713195801, 5.529144763946533, 5.298182964324951]",5.51
2xdl,3.1,"[6.609307765960693, 6.661896228790283, 6.614099025726318, 6.284303188323975, 6.639675617218018, 6.1141533851623535, 6.6063947677612305, 6.647803783416748, 6.419284343719482, 5.952024936676025]",6.45
2xii,7.2,"[6.4622344970703125, 7.101945877075195, 7.078821659088135, 7.29599666595459, 7.166477680206299, 7.005093097686768, 6.892083644866943, 7.104300498962402, 6.563307285308838, 6.808052062988281]",6.95
2yki,9.46,"[7.144591808319092, 7.458117961883545, 6.7608866691589355, 6.842290878295898, 6.919649600982666, 7.012599468231201, 7.840422630310059, 6.910847187042236, 7.541011810302734, 6.786254405975342]",7.12
2ymd,3.16,"[5.104494571685791, 5.377480983734131, 6.073276519775391, 5.168596267700195, 4.708529949188232, 5.2853264808654785, 5.131767272949219, 5.51918363571167, 5.408518314361572, 5.380474090576172]",5.32
3aru,3.22,"[5.360813140869141, 4.895910739898682, 4.923999786376953, 4.5011701583862305, 4.993690490722656, 4.594505786895752, 5.137842655181885, 4.642692565917969, 4.543797492980957, 5.351090908050537]",4.89
3ary,6.0,"[5.239644527435303, 5.471663475036621, 5.597696781158447, 5.583516597747803, 5.485311508178711, 5.653604507446289, 5.354303359985352, 6.168226718902588, 5.2931036949157715, 5.395355224609375]",5.52
3b27,5.16,"[5.623920917510986, 6.416527271270752, 5.692909240722656, 5.600623607635498, 6.374643325805664, 5.438862323760986, 5.314733028411865, 6.26084566116333, 5.222684860229492, 5.94037389755249]",5.79
